,Price,4G,Reporter,Crew Duration,edit duration,DayOfWeek,Report Duration (seconds),Client_bbc arabic,Client_beirutsat,Client_bloomberg asharq,Client_byblos medya,Client_newstime,Client_priyanka cgtn,Client_russia today,Truck_Nissan Sunny,Truck_Nissan X.Trail,Truck_Renault Duster,Truck_Suzuki Cias,Truck_other Truck,Others Acces_No Acces,Others Acces_Pro-X,Others Acces_Torch,Format_MP4-HD,Format_MXF,Format_MXF OP1A,Format_MXF-HD 50i,Format_No format
750,285,1,0,205,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
751,285,1,0,175,0,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
752,180,0,0,420,0,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
753,280,1,1,420,55,5,126,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
754,40,0,1,0,75,5,205,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
755,180,0,0,60,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
756,350,0,0,80,45,0,162,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
757,265,0,1,360,30,0,205,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
758,265,0,1,160,120,0,163,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
759,280,0,1,150,120,0,159,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
760,285,0,0,110,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
761,350,0,0,55,20,1,188,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
762,265,0,1,445,90,1,155,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
763,50,0,1,290,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
764,180,0,0,60,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
765,280,0,0,160,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
766,50,0,1,0,30,1,240,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
767,300,0,0,60,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
768,280,0,0,110,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
769,180,0,0,45,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
770,40,0,1,0,100,2,390,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
771,250,0,1,480,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
772,265,0,1,300,90,3,145,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
773,180,0,0,90,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
774,280,0,1,160,60,3,141,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
775,285,0,0,115,45,3,344,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
776,50,0,0,0,60,3,177,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
777,300,0,0,90,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
778,265,0,1,400,120,4,130,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
779,250,0,1,225,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
780,280,0,1,75,90,4,134,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
781,50,0,1,0,120,4,159,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
782,250,0,1,75,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
783,265,0,1,75,90,5,150,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
784,180,0,0,60,0,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
785,40,0,1,0,120,5,250,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
786,50,0,1,0,90,6,129,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
787,265,0,1,45,20,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
788,50,0,1,0,120,0,273,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
789,350,0,0,80,25,2,109,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
790,250,0,1,170,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
791,300,0,0,40,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
792,250,0,1,100,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
793,265,0,1,95,75,3,143,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
794,280,0,1,55,90,3,260,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
795,285,0,1,145,60,3,122,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
796,350,0,0,100,15,4,250,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
797,265,0,1,80,30,4,128,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
798,250,0,1,160,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
799,180,0,0,60,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
800,250,0,1,345,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
801,250,0,1,155,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
802,50,0,1,0,90,5,162,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
803,50,0,1,0,90,5,138,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
804,265,0,1,60,10,6,163,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
805,280,0,1,90,120,6,120,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
806,180,0,0,60,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
807,50,0,1,0,105,6,160,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
808,50,0,1,0,60,6,195,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
809,250,0,1,220,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
810,280,0,1,60,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
811,265,0,1,365,80,1,137,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
812,250,0,1,260,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
813,285,0,1,90,30,1,106,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
